trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,last_stop_on_trip
t1750-sl4-p2192-r198,10:00:00,10:00:00,161,0,,,,0,
t1750-sl4-p2192-r198,,,2816,71,,,,1477,
t1750-sl4-p2192-r198,,,2718,120,,,,2494,
t1750-sl4-p2192-r198,10:03:00,10:03:00,2716,180,,,,3732,
t1750-sl4-p2192-r198,,,2714,254,,,,4831,
t1750-sl4-p2192-r198,,,2719,318,,,,5785,
t1750-sl4-p2192-r198,,,989,546,,,,9153,
t1750-sl4-p2192-r198,,,1931,592,,,,9843,
t1750-sl4-p2192-r198,,,1920,644,,,,10607,
t1750-sl4-p2192-r198,10:17:00,10:17:00,9,1020,,,,11726,
t1750-sl4-p2192-r198,,,1771,1063,,,,12676,
t1750-sl4-p2192-r198,,,2502,1125,,,,14023,
t1750-sl4-p2192-r198,,,2467,1172,,,,15060,
t1750-sl4-p2192-r198,,,2469,1194,,,,15538,
t1750-sl4-p2192-r198,,,2473,1230,,,,16317,
t1750-sl4-p2192-r198,10:21:00,10:21:00,2476,1260,,,,16968,
t1750-sl4-p2192-r198,,,2440,1287,,,,17749,
t1750-sl4-p2192-r198,,,2444,1316,,,,18555,
t1750-sl4-p2192-r198,,,2448,1344,,,,19321,
t1750-sl4-p2192-r198,,,2450,1357,,,,19708,
t1750-sl4-p2192-r198,,,2514,1381,,,,20380,
t1750-sl4-p2192-r198,,,2493,1400,,,,20911,
t1750-sl4-p2192-r198,,,2513,1438,,,,21949,
t1750-sl4-p2192-r198,,,2480,1460,,,,22577,
t1750-sl4-p2192-r198,,,47,1489,,,,23376,
t1750-sl4-p2192-r198,,,2499,1527,,,,24438,
t1750-sl4-p2192-r198,10:26:00,10:26:00,2482,1560,,,,25358,
t1750-sl4-p2192-r198,,,2523,1583,,,,25819,
t1750-sl4-p2192-r198,,,2521,1624,,,,26649,
t1750-sl4-p2192-r198,,,2518,1655,,,,27259,
t1750-sl4-p2192-r198,,,2512,1689,,,,27932,
t1750-sl4-p2192-r198,,,2510,1715,,,,28451,
t1750-sl4-p2192-r198,,,2504,1767,,,,29477,
t1750-sl4-p2192-r198,,,2498,1798,,,,30093,
t1750-sl4-p2192-r198,,,2496,1827,,,,30679,
t1750-sl4-p2192-r198,10:31:00,10:31:00,2494,1860,,,,31322,
t1750-sl4-p2192-r198,,,2491,1921,,,,32579,
t1750-sl4-p2192-r198,,,2487,1949,,,,33142,
t1750-sl4-p2192-r198,,,2500,1985,,,,33881,
t1750-sl4-p2192-r198,,,2485,2022,,,,34625,
t1750-sl4-p2192-r198,,,2375,2166,,,,37562,
t1750-sl4-p2192-r198,,,2380,2190,,,,38065,
t1750-sl4-p2192-r198,,,2373,2215,,,,38570,
t1750-sl4-p2192-r198,,,2377,2280,,,,39888,
t1750-sl4-p2192-r198,,,471,2303,,,,40352,
t1750-sl4-p2192-r198,,,409,2322,,,,40757,
t1750-sl4-p2192-r198,,,453,2349,,,,41304,
t1750-sl4-p2192-r198,,,1537,2375,,,,41837,
t1750-sl4-p2192-r198,10:40:00,10:40:00,221,2400,,,,42328,
t1750-sl4-p2192-r198,,,473,2438,,,,42835,
t1750-sl4-p2192-r198,,,455,2481,,,,43411,
t1750-sl4-p2192-r198,,,1693,2548,,,,44287,
t1750-sl4-p2192-r198,10:49:00,10:49:00,4,2940,,,,45502,
t1750-sl4-p2192-r198,,,1695,2995,,,,46415,
t1750-sl4-p2192-r198,,,1696,3026,,,,46931,
t1750-sl4-p2192-r198,,,1679,3074,,,,47722,
t1750-sl4-p2192-r198,,,233,3142,,,,48849,
t1750-sl4-p2192-r198,,,1421,3173,,,,49360,
t1750-sl4-p2192-r198,,,1423,3212,,,,50006,
t1750-sl4-p2192-r198,,,1425,3252,,,,50666,
t1750-sl4-p2192-r198,,,1427,3289,,,,51276,
t1750-sl4-p2192-r198,,,1429,3334,,,,52011,
t1750-sl4-p2192-r198,10:56:00,10:56:00,1431,3360,,,,52431,
t1750-sl4-p2192-r198,,,1432,3391,,,,53247,
t1750-sl4-p2192-r198,,,2671,3416,,,,53895,
t1750-sl4-p2192-r198,,,2672,3435,,,,54384,
t1750-sl4-p2192-r198,,,2673,3461,,,,55033,
t1750-sl4-p2192-r198,,,2674,3487,,,,55721,
t1750-sl4-p2192-r198,,,2675,3509,,,,56272,
t1750-sl4-p2192-r198,,,2676,3534,,,,56913,
t1750-sl4-p2192-r198,,,2677,3556,,,,57491,
t1750-sl4-p2192-r198,,,2678,3581,,,,58133,
t1750-sl4-p2192-r198,,,2681,3655,,,,60037,
t1750-sl4-p2192-r198,,,2682,3678,,,,60624,
t1750-sl4-p2192-r198,,,2683,3750,,,,62494,
t1750-sl4-p2192-r198,11:03:00,11:03:00,193,3780,,,,63248,
t1750-sl4-p2192-r198,,,2745,3875,,,,64415,
t1750-sl4-p2192-r198,11:07:00,11:07:00,55,4020,,,,66182,
t1750-sl4-p2192-r198,,,2685,4045,,,,67072,
t1750-sl4-p2192-r198,,,165,4348,,,,77714,
t1750-sl4-p2192-r198,,,2711,4381,,,,78879,
t1750-sl4-p2192-r198,11:14:00,11:14:00,2710,4440,,,,80927,1
t1751-sl4-p2192-r197,10:43:00,11:00:00,161,0,,,,0,
t1751-sl4-p2192-r197,,,2816,71,,,,1477,
t1751-sl4-p2192-r197,,,2718,120,,,,2494,
t1751-sl4-p2192-r197,11:03:00,11:03:00,2716,180,,,,3732,
t1751-sl4-p2192-r197,,,2714,254,,,,4831,
t1751-sl4-p2192-r197,,,2719,318,,,,5785,
t1751-sl4-p2192-r197,,,989,546,,,,9153,
t1751-sl4-p2192-r197,,,1931,592,,,,9843,
t1751-sl4-p2192-r197,,,1920,644,,,,10607,
t1751-sl4-p2192-r197,11:17:00,11:17:00,9,1020,,,,11726,
t1751-sl4-p2192-r197,,,1771,1063,,,,12676,
t1751-sl4-p2192-r197,,,2502,1125,,,,14023,
t1751-sl4-p2192-r197,,,2467,1172,,,,15060,
